ID,YEAR,MONTH,MAIN,BAKER,BLUEBONNET,CARVER,CENTRAL,DELMONT GARDENS,EDEN PARK,FAIRWOOD,GREENWELL SPRINGS,JONES CREEK,PRIDE,RIVER CENTER,SCOTLANDVILLE,ZACHARY,GATE COUNT TOTAL,RECYCLED READS
201901,2019,January,44852,7289,25302,9772,6577,12833,12369,8571,7671,21555,2884,4558,10212,10667,185520,408
201812,2018,December,41961,6044,21899,8555,5862,10959,11541,7482,5163,17718,3353,5124,8051,8870,162582,0
201811,2018,November,42407,6514,24372,9138,6133,11957,11422,8674,6532,18792,3081,4710,10087,8985,172804,0
201810,2018,October,56114,8745,27072,11096,7847,14747,14533,10118,7408,23140,5868,5017,12079,10847,214631,259
201809,2018,September,53620,7224,26312,11185,6593,13777,13400,8646,7126,22686,3487,4413,10910,10295,199674,311
201808,2018,August,44798,8525,27724,10650,7366,14966,13700,7627,6233,24589,3819,5550,10944,11823,198314,259
201807,2018,July,47440,8354,26691,15184,8763,15473,14288,8333,6544,26769,4408,4922,10916,12640,210725,375
201806,2018,June,50001,7028,25149,15809,9507,14013,13384,7908,7969,22498,3265,5210,10937,13659,206337,165
201805,2018,May,45814,5694,11443,10025,8138,13501,12592,7180,8340,10877,3050,4827,10133,12977,164591,228
201804,2018,April,47186,7010,15826,8193,6400,8500,8624,7378,8814,24036,3006,4467,11843,10726,172008,207
201803,2018,March,49601,7832,21103,9750,7726,10791,9564,8671,9214,18114,2700,4873,10007,10123,180069,128
201802,2018,February,42233,7674,20032,8765,6720,10840,9345,7256,9328,19640,2400,4556,9777,9572,168138,157
201801,2018,January,55198,6065,18162,8103,6174,6926,8114,6082,7082,16485,2186,4418,9024,8018,162037,223
201712,2017,December,50894,6210,16216,7111,5207,10225,7630,5718,7409,14221,2400,4200,8006,8089,153536,0
201711,2017,November,52098,7615,19128,8300,6650,10825,8360,6723,8143,16504,2500,4703,8987,9380,169916,0
201710,2017,October,57862,8557,21934,9900,7992,12465,9789,7097,8840,19156,3791,5089,9923,10039,192434,259
201709,2017,September,50604,7696,21064,9493,7757,11855,10040,7045,8276,17530,2989,4565,9216,9900,178030,311
201708,2017,August,43185,8465,22903,10124,7969,14194,10295,7627,9118,19022,3020,5077,9881,12040,182920,259
201306,2013,June,34447,11909,24498,12221,9116,15115,10731,10988,13860,22235,3170,8095,12087,12699,201171,155
201305,2013,May,32768,9938,22216,10872,8104,13973,10662,9364,12173,21792,2862,7221,12390,10768,185103,136
201304,2013,April,34584,9880,21858,10177,7382,13486,9402,9469,12311,20335,2388,6715,14612,10758,183357,163
201005,2010,May,37844,10614,24371,10265,5492,13342,11470,0,15713,23670,2722,8056,11358,10563,185480,243
201004,2010,April,37043,9949,22742,9120,6777,15115,11076,0,13967,24456,3112,8547,11398,9292,182594,206
201003,2010,March,39168,10656,24817,9183,7716,15043,11566,0,15420,23333,2666,9580,11799,9633,190580,229
201002,2010,February,33812,8448,21431,6877,7452,16805,9634,0,13387,20729,2573,8064,10149,8358,167719,266
201001,2010,January,36713,8896,22100,8737,7596,14817,11705,0,15455,22211,2516,8301,11740,9603,180390,387
